編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQQMLOLLHLGFGF88DA,,30.20,本共有部分之項目有：機車車道、單車車位、電信室、管道間、梯廳兼排煙室、緊急昇降機兼無障礙昇降機、一般昇降機、真空垃圾機、資源回收室、垃圾暨裝卸車位、安全梯兼無障礙樓梯、受電箱及電錶室、發電機進風、發電機排風、受電箱、台電配電場所、公共服務空間（閱覽室）、公共服務空間（交誼廳）、公共服務空間（信箱區）、公共服務空間（ＫＴＶ）、公共服務空間（集會所）、公共服務空間（哺乳室）、公共服務空間（健身房）、排煙室、廁所、管委會使用空間、梯廳、出入口緩衝空間、走廊、特別安全梯、特別安全梯兼無障礙樓梯、樓梯間、空間梯間、消防中繼機房、消防中繼水箱、機房、電梯機械室、水塔、防災中心、緊急發電機室、機械室、受水槽、消防幫浦室等４３項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPQQMLOLLHLGFGF88DA,,20.61,本共有部分之項目有：汽車車道、防空避難室兼停車空間、台電配電場所通道、車道、停車空間等５項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPUPMLOLLHLGFGF56DA,,58.83,集合住宅,鋼筋混凝土造,114年9月15日,二十層,五層 陽台 雨遮,全筆移轉
RPUPMLOLLHLGFGF56DA,,30.20,本共有部分之項目有：機車車道、單車車位、電信室、管道間、梯廳兼排煙室、緊急昇降機兼無障礙昇降機、一般昇降機、真空垃圾機、資源回收室、垃圾暨裝卸車位、安全梯兼無障礙樓梯、受電箱及電錶室、發電機進風、發電機排風、受電箱、台電配電場所、公共服務空間（閱覽室）、公共服務空間（交誼廳）、公共服務空間（信箱區）、公共服務空間（ＫＴＶ）、公共服務空間（集會所）、公共服務空間（哺乳室）、公共服務空間（健身房）、排煙室、廁所、管委會使用空間、梯廳、出入口緩衝空間、走廊、特別安全梯、特別安全梯兼無障礙樓梯、樓梯間、空間梯間、消防中繼機房、消防中繼水箱、機房、電梯機械室、水塔、防災中心、緊急發電機室、機械室、受水槽、消防幫浦室等４３項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPUPMLOLLHLGFGF56DA,,20.61,本共有部分之項目有：汽車車道、防空避難室兼停車空間、台電配電場所通道、車道、停車空間等５項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPXNMLRLLHLGFAF98DA,,56.91,集合住宅,鋼筋混凝土造,115年1月23日,十五層,八層 陽台,全筆移轉
RPVNMLRLLHLGFAF78DA,,70.31,集合住宅,鋼筋混凝土造,115年1月23日,十五層,二層 陽台,全筆移轉
RPXNMLRLLHLGFAF98DA,,59.94,本共有部分項目有：停車空間、緊急昇降機、排煙室、無障礙昇降機、無障礙安全梯Ｂ、消防機房、雨水機房、Ｃ水箱、汽車坡道、台電配電場所、發電機房、防空避難室兼停車空間、電信機房、資源回收室、汽機車坡道、Ｂ水箱、Ａ水箱、戶外安全梯Ｂ、梯廳、（無障礙）戶外安全梯Ｂ、管委會３、陽台、管委會２、管委會１、戶外安全梯Ａ、（無障礙）戶外安全梯Ａ、車道、樓電梯間、機房、（無障礙）戶外安全梯、自來水箱、電梯機房等３２項。,鋼筋混凝土造,115年1月23日,十五層,,持分移轉
RPVNMLRLLHLGFAF78DA,,66.64,本共有部分項目有：停車空間、緊急昇降機、排煙室、無障礙昇降機、無障礙安全梯Ｂ、消防機房、雨水機房、Ｃ水箱、汽車坡道、台電配電場所、發電機房、防空避難室兼停車空間、電信機房、資源回收室、汽機車坡道、Ｂ水箱、Ａ水箱、戶外安全梯Ｂ、梯廳、（無障礙）戶外安全梯Ｂ、管委會３、陽台、管委會２、管委會１、戶外安全梯Ａ、（無障礙）戶外安全梯Ａ、車道、樓電梯間、機房、（無障礙）戶外安全梯、自來水箱、電梯機房等３２項。,鋼筋混凝土造,115年1月23日,十五層,,持分移轉
RPOQMLOLLHLGFGF68DA,,54.16,集合住宅,鋼筋混凝土造,114年9月15日,二十層,八層 陽台 雨遮,全筆移轉
RPSPMLOLLHLGFGF98DA,,58.83,集合住宅,鋼筋混凝土造,114年9月15日,二十層,六層 陽台 雨遮,全筆移轉
RPSNMLRLLHLGFAF48DA,,70.43,集合住宅,鋼筋混凝土造,115年1月23日,十五層,二層 陽台,全筆移轉
RPOQMLOLLHLGFGF68DA,,27.86,本共有部分之項目有：機車車道、單車車位、電信室、管道間、梯廳兼排煙室、緊急昇降機兼無障礙昇降機、一般昇降機、真空垃圾機、資源回收室、垃圾暨裝卸車位、安全梯兼無障礙樓梯、受電箱及電錶室、發電機進風、發電機排風、受電箱、台電配電場所、公共服務空間（閱覽室）、公共服務空間（交誼廳）、公共服務空間（信箱區）、公共服務空間（ＫＴＶ）、公共服務空間（集會所）、公共服務空間（哺乳室）、公共服務空間（健身房）、排煙室、廁所、管委會使用空間、梯廳、出入口緩衝空間、走廊、特別安全梯、特別安全梯兼無障礙樓梯、樓梯間、空間梯間、消防中繼機房、消防中繼水箱、機房、電梯機械室、水塔、防災中心、緊急發電機室、機械室、受水槽、消防幫浦室等４３項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPSPMLOLLHLGFGF98DA,,30.20,本共有部分之項目有：機車車道、單車車位、電信室、管道間、梯廳兼排煙室、緊急昇降機兼無障礙昇降機、一般昇降機、真空垃圾機、資源回收室、垃圾暨裝卸車位、安全梯兼無障礙樓梯、受電箱及電錶室、發電機進風、發電機排風、受電箱、台電配電場所、公共服務空間（閱覽室）、公共服務空間（交誼廳）、公共服務空間（信箱區）、公共服務空間（ＫＴＶ）、公共服務空間（集會所）、公共服務空間（哺乳室）、公共服務空間（健身房）、排煙室、廁所、管委會使用空間、梯廳、出入口緩衝空間、走廊、特別安全梯、特別安全梯兼無障礙樓梯、樓梯間、空間梯間、消防中繼機房、消防中繼水箱、機房、電梯機械室、水塔、防災中心、緊急發電機室、機械室、受水槽、消防幫浦室等４３項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPSNMLRLLHLGFAF48DA,,65.53,本共有部分項目有：停車空間、緊急昇降機、排煙室、無障礙昇降機、無障礙安全梯Ｂ、消防機房、雨水機房、Ｃ水箱、汽車坡道、台電配電場所、發電機房、防空避難室兼停車空間、電信機房、資源回收室、汽機車坡道、Ｂ水箱、Ａ水箱、戶外安全梯Ｂ、梯廳、（無障礙）戶外安全梯Ｂ、管委會３、陽台、管委會２、管委會１、戶外安全梯Ａ、（無障礙）戶外安全梯Ａ、車道、樓電梯間、機房、（無障礙）戶外安全梯、自來水箱、電梯機房等３２項。,鋼筋混凝土造,115年1月23日,十五層,,持分移轉
RPXQMLOLLHLGFGF96DA,,61.27,集合住宅,鋼筋混凝土造,114年9月15日,二十層,三層 陽台 雨遮,全筆移轉
RPXQMLOLLHLGFGF96DA,,31.45,本共有部分之項目有：機車車道、單車車位、電信室、管道間、梯廳兼排煙室、緊急昇降機兼無障礙昇降機、一般昇降機、真空垃圾機、資源回收室、垃圾暨裝卸車位、安全梯兼無障礙樓梯、受電箱及電錶室、發電機進風、發電機排風、受電箱、台電配電場所、公共服務空間（閱覽室）、公共服務空間（交誼廳）、公共服務空間（信箱區）、公共服務空間（ＫＴＶ）、公共服務空間（集會所）、公共服務空間（哺乳室）、公共服務空間（健身房）、排煙室、廁所、管委會使用空間、梯廳、出入口緩衝空間、走廊、特別安全梯、特別安全梯兼無障礙樓梯、樓梯間、空間梯間、消防中繼機房、消防中繼水箱、機房、電梯機械室、水塔、防災中心、緊急發電機室、機械室、受水槽、消防幫浦室等４３項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPXQMLOLLHLGFGF96DA,,20.61,本共有部分之項目有：汽車車道、防空避難室兼停車空間、台電配電場所通道、車道、停車空間等５項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPSPMLOLLHLGFGF98DA,,20.61,本共有部分之項目有：汽車車道、防空避難室兼停車空間、台電配電場所通道、車道、停車空間等５項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPSQMLOLLHLGFGF09DA,,58.83,集合住宅,鋼筋混凝土造,114年9月15日,二十層,十三層 陽台 雨遮,全筆移轉
RPSQMLOLLHLGFGF09DA,,30.20,本共有部分之項目有：機車車道、單車車位、電信室、管道間、梯廳兼排煙室、緊急昇降機兼無障礙昇降機、一般昇降機、真空垃圾機、資源回收室、垃圾暨裝卸車位、安全梯兼無障礙樓梯、受電箱及電錶室、發電機進風、發電機排風、受電箱、台電配電場所、公共服務空間（閱覽室）、公共服務空間（交誼廳）、公共服務空間（信箱區）、公共服務空間（ＫＴＶ）、公共服務空間（集會所）、公共服務空間（哺乳室）、公共服務空間（健身房）、排煙室、廁所、管委會使用空間、梯廳、出入口緩衝空間、走廊、特別安全梯、特別安全梯兼無障礙樓梯、樓梯間、空間梯間、消防中繼機房、消防中繼水箱、機房、電梯機械室、水塔、防災中心、緊急發電機室、機械室、受水槽、消防幫浦室等４３項。,鋼筋混凝土造,114年9月15日,二十層,,持分移轉
RPOONLSJKIKGFBF18DA,,82.56,集合住宅,鋼筋混凝土造,114年12月5日,二十四層,四層 陽台,全筆移轉
RPOONLSJKIKGFBF18DA,,67.56,本共有部分之項目有走廊、公益梯間、公益無障礙昇降機、公益一般安全梯、特別安全梯Ｂ、梯廳、排煙室Ｂ、無障礙昇降機Ｂ、無障礙昇降機Ａ、排煙室Ａ、緊急昇降機Ｂ、緊急昇降機Ａ、無障礙特別安全梯Ｃ、無障礙特別安全梯Ｂ、機房、無障礙特別安全梯Ａ、汽機車共用坡道、公益無障礙安全梯、特別安全梯Ａ、陽台、無障礙安全梯、樓梯間、廁所、無障礙昇降機、屋頂中繼水箱、水箱、電梯機房、臨停車位、垃圾儲藏室、垃圾車暫停位、停車空間、電信機房、緊急發電機室、防災中心、進風管道、排風管道、台電配電場所、消防泵浦室、中繼水箱等３９項。,鋼筋混凝土造,114年12月5日,二十四層,,持分移轉
RPQSMLOLLHLGFGF09DA,,54.16,集合住宅,鋼筋混凝土造,114年9月15日,二十層,七層 陽台 雨遮,全筆移轉
