編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQPMLLJMHLGFAO68DA,2,21.57,共有部分,鋼筋混凝土造,113年6月11日,五層,,持分移轉
RPPOMLOJLHLGFAO68DA,16,.04,守衛室,鋼筋混凝土造,98年9月22日,一層,一層,持分移轉
RPPOMLOJLHLGFAO68DA,16,149.56,集合住宅,鋼筋混凝土造,98年9月22日,十四層,七層 陽台 雨遮,全筆移轉
RPPOMLOJLHLGFAO68DA,16,23.01,梯間、水箱、昇降機房,鋼筋混凝土造,98年9月22日,十四層,,持分移轉
RPPOMLOJLHLGFAO68DA,16,49.83,防空避難室兼停車空間、開放空間,鋼筋混凝土造,98年9月22日,十四層,,持分移轉
RPPOMLOJLHLGFAO68DA,16,32.82,防空避難室兼停車空間、開放空間,鋼筋混凝土造,98年9月22日,十四層,,持分移轉
RPQNMLLMLHLGFAO68DA,,140.54,集合住宅,鋼筋混凝土造,115年1月14日,十五層,七層 陽台,全筆移轉
RPQNMLLMLHLGFAO68DA,,132.14,共有部分,鋼筋混凝土造,115年1月14日,十五層,,持分移轉
RPRNMLLMLHLGFAO78DA,,160.59,集合住宅,鋼筋混凝土造,115年1月14日,十五層,六層 陽台,全筆移轉
RPRNMLLMLHLGFAO78DA,,115.58,共有部分,鋼筋混凝土造,115年1月14日,十五層,,持分移轉
RPTNMLLMLHLGFAO98DA,,161.24,集合住宅,鋼筋混凝土造,115年1月14日,十五層,十三層 陽台,全筆移轉
RPTNMLLMLHLGFAO98DA,,145.58,共有部分,鋼筋混凝土造,115年1月14日,十五層,,持分移轉
RPRPMLNLLHLGFAO09DA,26,118.01,商業用,鋼筋混凝土造,88年12月30日,十二層,五層 陽台,全筆移轉
RPRPMLNLLHLGFAO09DA,26,43.76,共有部分,鋼筋混凝土造,88年12月30日,十二層,,持分移轉
RPRPMLNLLHLGFAO09DA,26,32.31,共有部分,鋼筋混凝土造,88年12月30日,十二層,,持分移轉
RPPNMLPJJHLGFAO58EA,35,37.36,商業用,鋼筋混凝土造,80年6月3日,十層,三層,持分移轉
RPPNMLPJJHLGFAO58EA,35,14.43,共有部分,鋼筋混凝土造,80年6月3日,十層,,持分移轉
RPVNMLQJKHLGFAO66DA,,183.76,住商用,加強磚造,,二層,一層 二層,全筆移轉
RPQNMLRKJHLGFAO88DA,17,.03,守衛室,鋼筋混凝土造,98年6月1日,十五層,一層,持分移轉
RPQNMLRKJHLGFAO88DA,17,98.59,策略性產業辦公室,鋼筋混凝土造,98年6月1日,十五層,二層 陽台,全筆移轉
RPQNMLRKJHLGFAO88DA,17,.00,梯間、水箱、昇降機房,鋼筋混凝土造,98年6月1日,十五層,,持分移轉
RPQNMLRKJHLGFAO88DA,17,17.12,梯間、水箱、昇降機房,鋼筋混凝土造,98年6月1日,十五層,,持分移轉
RPQNMLRKJHLGFAO88DA,17,23.24,防空避難室兼停車空間、消防機械室、污水機房、台電配電室、電信室、開放空間、發電機室,鋼筋混凝土造,98年6月1日,十五層,,持分移轉
RPQNMLRKJHLGFAO88DA,17,24.44,防空避難室兼停車空間、消防機械室、污水機房、台電配電室、電信室、開放空間、發電機室,鋼筋混凝土造,98年6月1日,十五層,,持分移轉
RPSNMLPKKIKGFAO98DA,,113.12,住家用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPPNMLRLLHLGFAO56EA,5,53.67,集合住宅,鋼筋混凝土造,110年1月4日,二十四層,十三層 陽台 雨遮,全筆移轉
RPPNMLRLLHLGFAO56EA,5,55.94,共有部分,鋼筋混凝土造,110年1月4日,二十四層,,持分移轉
