鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
林口區,房地(土地+建物)+車位,新北市林口區過崙街與南勢四街口,22.81,住,,,1150308,土地4建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.75,2,2,2,有,無,17880000,182347,坡道平面,25.76,2200000,,RPXNMLTKLHLGFBF56CB,盛德誠,D棟12號,
汐止區,房地(土地+建物),新北市汐止區水源路二段190號旁,14.34,,鄉村區,乙種建築用地,1150306,土地7建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,47.09,2,1,1,有,無,8880000,188575,,0.0,0,,RPPNMLTKLHLGFDF58CB,汐科爵鼎,A棟6號,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段111巷1號,21.31,住,,,1150305,土地15建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.54,0,0,2,有,無,23930000,196897,坡道平面,32.67,2100000,,RPQNMLTKLHLGFEF78CB,SUN HOUSE,A2-08F號,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段111巷1號,22.34,住,,,1150306,土地15建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.95,2,1,2,有,無,25790000,202872,坡道平面,32.67,2200000,,RPRNMLTKLHLGFEF88CB,SUN HOUSE,A7-11F號,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段111巷1號,11.44,住,,,1150305,土地15建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.32,0,0,1,有,無,12870000,178877,坡道平面,32.67,2200000,,RPSNMLTKLHLGFEF98CB,SUN HOUSE,A8-10F號,
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路三段172巷16弄,13.64,住,,,1150307,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.09,2,2,2,有,無,11930000,114719,坡道平面,31.48,1650000,,RPQNMLLLLHLGFEF08CB,富麗ONE,A棟5號,
三重區,房地(土地+建物)+車位,新北市三重區元信一街,9.37,住,,,1150310,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.7,2,2,1,有,無,16120000,231824,坡道平面,30.38,2600000,,RPPNMLLLLHLGFGF18CB,宏道巴黎花都,B棟B02-14F號,
三重區,房地(土地+建物)+車位,新北市三重區元信一街,9.37,住,,,1150310,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.7,2,2,1,有,無,16000000,231481,坡道平面,30.38,2500000,,RPQNMLLLLHLGFGF28CB,宏道巴黎花都,B棟B02-15F號,
汐止區,房地(土地+建物)+車位,新北市汐止區大同路二段258號旁,22.05,住,,,1150307,土地17建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.4,3,2,2,有,無,38140000,250116,坡道平面,68.1,5800000,,RPPNMLLLLHLGFDF97DB,文心慕慕,A1-13F號,
汐止區,房地(土地+建物),新北市汐止區大同路二段258號旁,10.34,住,,,1150309,土地17建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.47,2,2,1,有,無,15500000,252156,,0.0,0,,RPRNMLLLLHLGFDF18DB,文心慕慕,A10-11F號,
