鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉福丸段156-13地號,138.56,,鄉村區,乙種建築用地,1150310,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,224.19,4,2,5,有,無,17080000,76185,一樓平面,0.0,0,,RPRNMLOLLHLGFAG18CB,久誼久陞Ⅲ富境,C7棟,
三星鄉,房地(土地+建物),宜蘭縣三星鄉上將路三段,52.65,,特定農業區,甲種建築用地,1150305,土地1建物1車位0,二層,4,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,106.74,3,2,2,有,無,8960000,83942,,0.0,0,,RPSNMLOLLHLGFAG28CB,享家Ⅲ-鎏金歲月,A棟A2號,
三星鄉,房地(土地+建物),宜蘭縣三星鄉上將路三段,50.89,,特定農業區,甲種建築用地,1150301,土地1建物1車位0,二層,4,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,103.14,3,2,2,有,無,8700000,84351,,0.0,0,,RPTNMLOLLHLGFAG38CB,享家Ⅲ-鎏金歲月,A棟A3號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中央路3段123巷10號旁,78.76,,特定農業區,農牧用地,1150301,土地2建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.89,3,2,2,有,無,6438000,74094,,0.0,0,交易總價包含五權段1772地號農地持分交易價款40萬元整,RPQNMLPLLHLGFBG28CB,群邦碩玉,1棟4B號,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉中正西路89巷,40.93,住,,,1150302,土地3建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.19,2,2,2,有,無,8030000,79356,一樓平面,18.27,0,,RPPNMLQLLHLGFAG18CB,尚穎居Ⅱ,B棟F1-2F號,
三星鄉,房地(土地+建物)+車位,宜蘭縣三星鄉大洲二路,35.61,,特定農業區,甲種建築用地,1150306,土地3建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.08,2,2,2,有,無,6600000,74666,一樓平面,17.07,850000,大洲二段934、935、936地號等三筆土地於114年合併，合併後又進行分割。,RPPNMLTLLHLGFAG48CB,青豐,B棟B5-2F號,
三星鄉,房地(土地+建物),宜蘭縣三星鄉大洲二路,88.56,,特定農業區,甲種建築用地,1150308,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.72,3,2,4,有,無,12500000,74087,,0.0,0,大洲二段934、935、936地號等三筆土地於114年合併，合併後又進行分割。,RPQNMLTLLHLGFAG58CB,青豐,A12棟,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市公園東路51巷,169.89,住,,,1150306,土地1建物1車位2,全,3,透天厝,住家用,鋼筋混凝土造,,254.66,0,0,3,有,無,35000000,137438,一樓平面,0.0,0,一個車位位於主建物內車位面積為7.38平方公尺及法定空地上面積為8.47平方公尺；另一車位位於法定空地上面積為13.75平方公尺,RPPNMLLJMHLGFBG67CB,力璟.無疆大境2,B3棟0號,
三星鄉,房地(土地+建物),宜蘭縣三星鄉尚健五路一段,154.92,,特定農業區,甲種建築用地,1150304,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,158.19,4,2,5,有,無,12500000,79019,,0.0,0,,RPQNMLLJMHLGFAG87EB,禾豐居,C棟5號,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉塭底路,130.1,,一般農業區,甲種建築用地,1150309,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,185.58,5,2,6,有,無,13880000,74793,,0.0,0,,RPVNMLRJMHLGFBG88CB,元登2,A棟1號,
