編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSOMLMJLHLGFEA87CC,45,51.12,住家用,鋼筋混凝土造,70年8月20日,五層,,
RPSOMLMJLHLGFEA87CC,45,.72,共有部分,鋼筋混凝土造,70年8月20日,五層,,
RPSOMLNJLHLGFEA97CC,21,72.23,一般零售業〈甲組〉,鋼筋混凝土造,94年7月28日,十四層,,
RPSOMLNJLHLGFEA97CC,21,17.29,共有部分,鋼筋混凝土造,94年7月28日,十四層,,
RPSOMLNJLHLGFEA97CC,21,5.53,共有部分,鋼筋混凝土造,94年7月28日,十四層,,
RPTNMLOJLHLGFFA18CC,46,21.00,住家用,鋼筋混凝土造,68年9月8日,七層,,
RPRNMLOJLHLGFEA87CC,54,17.60,住家用,加強磚造,60年11月19日,三層,,
RPUOMLPJLHLGFCA18CC,38,134.97,住家用,鋼筋混凝土造,77年6月13日,十四層,,
RPUOMLPJLHLGFCA18CC,38,9.54,共有部分,鋼筋混凝土造,77年6月13日,十四層,,
RPUNMLPJLHLGFCA08CC,30,50.09,商業用,鋼筋混凝土造,85年7月18日,十七層,,
RPUNMLPJLHLGFCA08CC,30,5.99,商業用,鋼筋混凝土造,85年7月18日,十七層,,
RPUNMLPJLHLGFCA08CC,30,1.82,商業用,鋼筋混凝土造,85年7月18日,十七層,,
RPUNMLPJLHLGFCA08CC,30,21.00,共有部分,鋼筋混凝土造,85年7月18日,十七層,,
RPPNMLPJLHLGFDA67CC,57,58.62,住家用,加強磚造,58年8月13日,四層,,
RPXNMLOJLHLGFEA48CC,49,64.03,住家用,鋼筋混凝土造,65年9月14日,十一層,,
RPXNMLOJLHLGFEA48CC,49,10.26,共有部分,鋼筋混凝土造,65年9月14日,十一層,,
RPWNMLOJLHLGFEA38CC,12,66.23,自由業事務所,鋼筋混凝土造,102年11月8日,十九層,,
RPWNMLOJLHLGFEA38CC,12,33.89,本共有部分之項目有緩衝空間、乙特梯、緊急昇降機供行動不便、門廳（Ｂ）、門廳（Ａ）、甲特梯、廁所、發電機房、排風管道、丙梯、管道間１、電梯機坑、管道間２、管道間３、管道間４、管道間５、管道間６、進風管道、排煙管道、排煙室、緊急昇降機、梯廳、走廊、自來水箱、中繼消防泵浦室、消防水箱、管理委員會使用空間、陽台、雨遮、甲梯、乙梯、消防水池、機房、水箱、電梯機械房、管理員室、防災中心、景觀水池泵浦室、受電箱、台電配電場所、電表室、機房（供電信使用）、發電機房、梯間、（Ａ）蓄水池、（Ｂ）蓄水池及消防泵浦室等４６項,鋼筋混凝土造,102年11月8日,十九層,,
RPRPMLPJLHLGFCA97CC,32,91.32,住家用,鋼筋混凝土造,83年5月5日,七層,,
RPRPMLPJLHLGFCA97CC,32,21.24,共有部分,鋼筋混凝土造,83年5月5日,七層,,
RPOOMLOJLHLGFEA67CC,52,91.48,住家用,鋼筋混凝土造,62年12月29日,四層,,
RPUNMLPJLHLGFAA87CC,54,40.04,住家用,鋼筋混凝土造,61年6月27日,六層,,
RPQNMLPJLHLGFFA97CC,36,41.59,住家用,鋼筋混凝土造,79年3月30日,三層,,
RPPNMLQJLHLGFAA47CC,16,17.86,住家用,鋼筋混凝土造,98年10月28日,十五層,,
RPPNMLQJLHLGFAA47CC,16,5.70,共有部分，本共有部分之項目有樓梯間、騎樓、陽台、機車昇降機、梯廳、花台、防空避難室兼停車空間、管理員室、電梯間、機械室、發電機室、台電管道間、消防泵浦室、蓄水池、ＣＯ２機房、電梯機房、水箱等１７項。,鋼筋混凝土造,98年10月28日,十五層,,
RPPNMLQJLHLGFAA47CC,16,6.25,共有部分，本共有部分之項目有梯廳、雨遮等２項。,鋼筋混凝土造,98年10月28日,十五層,,
RPRNMLQJLHLGFAA67CC,48,18.36,住家用,加強磚造,66年11月24日,二層,,
RPRNMLPJLHLGFDA87CC,,29.31,住家用,加強磚造,,二層,,
RPOOMLPJLHLGFDA67CC,45,30.00,住家用,鋼筋混凝土造,70年2月16日,七層,,
RPSNMLQJLHLGFAA77CC,48,18.36,住家用,加強磚造,66年11月24日,二層,,
RPRNMLPJLHLGFFA08CC,39,38.02,住家用,鋼筋混凝土造,76年1月26日,十二層,,
RPTNMLQJLHLGFAA87CC,44,16.37,住家用,鋼筋混凝土造,71年2月25日,五層,,
RPVNMLPJLHLGFDA28CC,27,60.66,住家用,鋼筋混凝土造,87年11月9日,十八層,,
RPVNMLPJLHLGFDA28CC,27,10.94,共有部分,鋼筋混凝土造,87年11月9日,十八層,,
RPUNMLPJLHLGFBA97CC,31,28.01,商業用,鋼筋混凝土造,84年8月26日,九層,,
RPUNMLPJLHLGFBA97CC,31,6.93,共有部分,鋼筋混凝土造,84年8月26日,九層,,
RPUNMLPJLHLGFBA97CC,31,7.03,共有部分,鋼筋混凝土造,84年8月26日,九層,,
RPSNMLPJLHLGFBA77CC,58,24.07,,加強磚造,57年4月29日,四層,,
RPSNMLPJLHLGFDA97CC,11,377.85,一般事務所,鋼骨造,104年4月17日,十七層,,
RPSNMLPJLHLGFDA97CC,11,47.26,本共有部分之項目有電扶梯、大廳、梯廳、特別安全梯、行動不便電梯、排煙室、電梯、冷卻水管配管室、排煙管道、進氣管道、男廁、女廁、茶水間、緊急升降機兼行動不便電梯、特別安全梯兼供行動不便者使用、一期給排水通風、二期給排水通風、空調冰水管道、給排水、消防、廁所通風管道、廁所通風、空調冰水及給排水、警報逆止閥、台鐵電信、ＢＯＴ消防泵浦室、ＢＯＴ消防水箱、ＢＯＴ雨水泵浦室、台鐵空調補給水箱、ＯＴ空調補給水箱、雨水貯存槽、調勻池、進流沉沙渠、灑水、會議室１７Ａ、會議室１７Ｂ、空調機房、梯間、空調、變電室、低壓管道間、高壓管道間、電梯機房、發電機室、電氣室、中華電信機房、貨梯梯廳兼排煙室、半戶外走道、日用油箱室、ＢＯＴ生活用水箱、水箱室等５１項,鋼骨造,104年4月17日,十七層,,
