鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大園區,房地(土地+建物)+車位,桃園市大園區園科路１１５號十二樓,15.3,商,,,1120808,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141223,108.67,2,2,2,有,有,9650000,92646,坡道平面,21.78,1600000,預售屋、或土地及建物分件登記案件；,RPUUMLQJJHLGFEH86DA,49.59,0.0,7.79,有,
大園區,房地(土地+建物)+車位,桃園市大園區園科路１１５號十八樓,15.3,商,,,1120815,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141223,106.80000000000001,2,2,2,有,有,9500000,92070,坡道平面,19.91,1500000,預售屋、或土地及建物分件登記案件；,RPQVMLQJJHLGFEH56DA,49.59,0.0,7.79,有,
大園區,房地(土地+建物)+車位,桃園市大園區園科路１１３號十三樓之２,11.19,商,,,1120801,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141223,83.5,1,2,1,有,有,7320000,91524,坡道平面,19.91,1500000,114年10月19日更名價格不變預售屋、或土地及建物分件登記案件；,RPOTMLTJJHLGFEH09DA,36.9,0.0,5.15,有,
大園區,房地(土地+建物)+車位,桃園市大園區園科路１０３號九樓之１,18.51,商,,,1120829,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141223,126.78,3,2,2,有,有,11810000,97238,坡道平面,21.78,1600000,預售屋、或土地及建物分件登記案件；,RPWNMLMKJHLGFEH68DA,64.06,0.0,5.34,有,
大園區,房地(土地+建物)+車位,桃園市大園區園科路１０３號十二樓之１,18.51,商,,,1120829,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141223,126.78,3,2,2,有,有,11950000,98571,坡道平面,21.78,1600000,預售屋、或土地及建物分件登記案件；,RPPOMLMKJHLGFEH08DA,64.06,0.0,5.34,有,
大園區,房地(土地+建物)+車位,桃園市大園區文城路１５３號五樓之１,17.09,商,,,1120829,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141223,118.50999999999999,2,2,2,有,有,10770000,95834,坡道平面,21.78,1500000,預售屋、或土地及建物分件登記案件；,RPWOMLNKJHLGFEH88DA,58.74,0.0,5.2,有,
大園區,房地(土地+建物)+車位,桃園市大園區文城路１５３號五樓之２,12.54,商,,,1120829,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141223,92.81,1,2,1,有,有,7680000,87005,坡道平面,21.78,1500000,預售屋、或土地及建物分件登記案件；,RPRTMLNKJHLGFEH88DA,41.86,0.0,5.05,有,
八德區,房地(土地+建物)+車位,桃園市八德區豐田二路３６號七樓之３,20.52,住,,,1120809,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141215,136.28,3,2,2,有,有,12730000,99710,坡道平面,26.06,1740000,預售屋、或土地及建物分件登記案件；,RPSVMLQLJHLGFFH07DA,68.57,0.0,5.28,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路４２３巷１７號十一樓,22.11,住,,,1120827,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141117,162.41,3,2,2,有,有,17930000,122370,坡道平面,32.64,2050000,預售屋、或土地及建物分件登記案件；,RPPOMLSLLHLGFAH58DA,78.61,0.0,7.77,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路４２３巷１７號九樓,22.11,住,,,1120822,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141117,162.41,3,2,2,有,有,17710000,120675,坡道平面,32.64,2050000,預售屋、或土地及建物分件登記案件；,RPWOMLSLLHLGFAH66DA,78.61,0.0,7.77,有,
大園區,房地(土地+建物)+車位,桃園市大園區領航北路四段１２８號三樓,36.45,住,,,1120818,土地1建物1車位2,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1150109,232.07,4,2,3,有,有,22050000,124081,坡道平面,86.6,4000000,預售屋、或土地及建物分件登記案件；,RPRNMLMJMHLGFEH38DA,87.43,0.0,8.53,有,
大園區,房地(土地+建物)+車位,桃園市大園區領航北路四段１２８號五樓,36.45,住,,,1120727,土地1建物1車位2,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1150109,232.07,4,2,3,有,有,22140000,124699,坡道平面,86.6,4000000,預售屋、或土地及建物分件登記案件；,RPWNMLMJMHLGFEH88DA,87.43,0.0,8.53,有,
大園區,房地(土地+建物)+車位,桃園市大園區領航南路二段２９號十六樓之２,13.14,商,,,1120630,土地1建物1車位1,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141203,98.15,2,2,1,有,有,13560000,162144,坡道平面,24.08,1550000,預售屋、或土地及建物分件登記案件；,RPWRMLQLLHLGFEH17DA,44.0,0.0,4.55,有,
大園區,房地(土地+建物)+車位,桃園市大園區領航南路二段２９號十一樓之６,13.52,商,,,1120622,土地1建物1車位1,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141203,100.45,2,2,1,有,有,12950000,147964,坡道平面,24.08,1650000,轉讓日期113.09.23轉讓金額不變預售屋、或土地及建物分件登記案件；,RPUSMLQLLHLGFEH07DA,45.86,0.0,4.27,有,
大園區,房地(土地+建物)+車位,桃園市大園區領航南路二段２９號十三樓之６,13.52,商,,,1120630,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141203,100.45,2,2,1,有,有,13150000,149273,坡道平面,24.08,1750000,轉讓日期114.01.21轉讓金額1395萬元整預售屋、或土地及建物分件登記案件；,RPVSMLQLLHLGFEH17DA,45.86,0.0,4.27,有,
大園區,房地(土地+建物)+車位,桃園市大園區領航南路二段２９號十二樓之１０,13.82,商,,,1120613,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141203,101.74,2,2,1,有,有,12510000,141128,坡道平面,24.08,1550000,轉讓日期113.06.20轉讓金額不變預售屋、或土地及建物分件登記案件；,RPPTMLQLLHLGFEH66DA,46.35,0.0,4.59,有,
大園區,房地(土地+建物)+車位,桃園市大園區領航南路二段３１號十一樓之２,13.14,商,,,1120630,土地1建物1車位1,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141203,98.15,2,2,1,有,有,12270000,144728,坡道平面,24.08,1550000,轉讓日期114.08.08轉讓金額1330萬元整預售屋、或土地及建物分件登記案件；,RPSTMLQLLHLGFEH96DA,44.0,0.0,4.55,有,
大園區,房地(土地+建物)+車位,桃園市大園區領航南路二段３１號二十一樓之６,13.6,商,,,1120625,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141203,100.69,2,2,1,有,有,13400000,152069,坡道平面,24.08,1750000,預售屋、或土地及建物分件登記案件；,RPUTMLQLLHLGFEH17DA,45.86,0.0,4.27,有,
