鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,房地(土地+建物)+車位,新竹市新竹市崇和路９號二樓,29.39,住,,,1150124,土地1建物1車位2,二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040114,273.76,4,2,2,有,有,39600000,144652,坡道平面,0.0,0,建築物含其他增建:後陽台加窗、雨遮做露台使用其他增建；,RPTNMLTKLHLGFAO96DA,136.34,10.53,14.15,有,10
新竹市,房地(土地+建物),新竹市新竹市金山北二街８７號二樓之２,6.34,住,,,1150111,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950215,29.11,1,1,1,有,有,5000000,171762,,0.0,0,夾層；,RPTOMLNKJHLGFAO88DA,15.13,0.0,4.69,有,11
新竹市,房地(土地+建物),新竹市新竹市東山街１７號二樓,24.75,住,,,1150126,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,80.64,3,1,1,有,無,6000000,74405,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLTLJHLGFAO66DA,80.64,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路一段３９巷３３號四樓之２１,8.88,住,,,1150111,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0970701,57.26,1,1,1,有,有,8850000,154558,坡道機械,19.16,0,其他增建: 夾層。夾層；其他增建；,RPUOMLLMLHLGFAO56DA,22.71,0.0,2.04,有,12
新竹市,房地(土地+建物)+車位,新竹市新竹市湳雅街３５７之１號２樓,21.58,住,,,1150108,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870720,140.25,3,2,2,有,有,12800000,91259,坡道平面,0.0,0,其他增建；,RPPOMLKMLHLGFAO58DA,75.95,0.0,12.62,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市金雅東街２２號七樓,32.58,,鄉村區,乙種建築用地,1150101,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110426,170.03,2,2,2,有,有,25300000,148797,坡道平面,35.02,0,,RPVNMLLMLHLGFAO56DA,77.09,0.0,8.82,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市經國路二段５３５之１４號七樓,19.43,商,,,1150121,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951220,139.88,3,2,2,有,有,16200000,115822,坡道平面,0.0,0,陽台外推；,RPROMLMJMHLGFAO78DA,75.81,2.72,8.83,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路１９巷９９號二樓,16.08,住,,,1141227,土地3建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0980601,163.42000000000002,3,2,2,有,有,23800000,145637,坡道平面,0.0,0,,RPQNMLRKJHLGFAO88DA,89.04,0.0,9.58,有,13
新竹市,房地(土地+建物)+車位,新竹市新竹市公道五路二段２９１號七樓,35.85,住,,,1141225,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980922,255.26999999999998,4,2,2,有,有,37600000,147301,坡道平面,0.0,0,陽台外推；,RPPOMLOJLHLGFAO68DA,125.81,6.06,17.73,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市東華路１２巷５號８Ｆ,12.1,住,,,1141217,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830713,113.88000000000001,3,2,2,有,有,9450000,82982,坡道平面,0.0,0,,RPRNMLPLLHLGFAO09DA,74.11,0.0,11.32,有,14
