鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三重區,房地(土地+建物)+車位,新北市三重區成功路１０４巷６號二樓,21.43,商,,,1150202,土地2建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890426,149.88,4,1,2,有,有,21500000,150470,坡道機械,13.64,1000000,親友、員工、共有人或其他特殊關係間之交易；,RPROMLKKLHLGFGF28DA,86.95,1.23,13.11,有,
蘆洲區,房地(土地+建物),新北市蘆洲區中正路１８５巷４６弄４號四樓,19.57,住,,,1150227,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740805,86.96,3,2,1,有,無,10500000,120745,,0.0,0,,RPRNMLTKLHLGFGF09DA,79.38,0.0,7.58,無,
中和區,房地(土地+建物),新北市中和區大勇街３１巷３９號六樓,11.9,住,,,1150206,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1070213,79.59,2,2,1,有,有,18160000,228169,,0.0,0,其他增建；,RPPNMLLJLHLGFHF08DA,47.62,1.43,7.06,有,125
中和區,房地(土地+建物),新北市中和區員山路４２３巷２弄４號五樓,26.5,住,,,1150227,土地2建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690521,87.6,4,3,2,有,無,9580000,109361,,0.0,0,頂樓加蓋；,RPPOMLRKLHLGFHF88DA,87.6,0.0,0.0,無,
三峽區,土地,溪東段558地號,706.63,,一般農業區,農牧用地,1150202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7500000,10614,,0.0,0,,RPWNMLSKLHLGFIF07DA,0.0,0.0,0.0,無,
鶯歌區,房地(土地+建物),新北市鶯歌區西湖街２之７號十一樓,12.57,住,,,1150202,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841027,96.93,3,2,2,有,有,8450000,87176,,0.0,0,,RPSNMLLMLHLGFIF78DA,77.19,0.0,9.1,有,
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區國中街７１號六樓,29.33,住,,,1150201,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970218,152.14,3,2,2,有,有,11730000,77100,坡道平面,41.98,0,其他增建：鐵鋁窗增建。陽台外推；其他增建；,RPWNMLLMLHLGFIF56DA,67.29,1.48,9.5,有,
樹林區,房地(土地+建物),新北市樹林區忠孝街１６號三樓,23.25,住,,,1150226,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670107,68.86,3,1,2,有,無,5000000,72611,,0.0,0,建物：150000，土地：4850000急買急賣；,RPQNMLLJMHLGFIF38DA,68.86,0.0,0.0,無,
新店區,房地(土地+建物)+車位,新北市新店區中興路一段６９號四樓,16.11,住,,,1150205,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1111028,160.93,3,2,2,有,有,28400000,224123,坡道平面,44.03,2200000,,RPSNMLRLLHLGFCF78EA,67.84,4.76,6.26,有,
三重區,土地,菜寮段88地號,181.24,住,,,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16173405,89238,,0.0,0,1.本案按土地法第34條之1執行買賣。2.土地現況為既成道路使用。3.承買人有持分199/1512，本次承買持分1313/1512。,RPPNMLQJLHLGFGF58EA,0.0,0.0,0.0,無,126
三重區,房地(土地+建物),新北市三重區重新路四段９５之２號六樓之一,16.94,商,,,1150201,土地3建物1車位0,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891213,107.07,2,2,2,有,有,20200000,188662,,0.0,0,陽台外推；其他增建；,RPQNMLLMLHLGFGF48EA,70.75,1.21,10.09,有,
三重區,房地(土地+建物),新北市三重區正義南路１２５號六樓之一,13.07,住,,,1150209,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840327,76.84,2,2,1,有,有,14450000,188053,,0.0,0,陽台外推；其他增建；,RPRNMLLMLHLGFGF58EA,61.52,0.0,7.42,有,
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區水湳街３９３號四樓,68.53,住,,,1150210,土地1建物1車位2,四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040316,444.75,4,2,4,有,有,59900000,142168,坡道平面,52.96,4200000,,RPUNMLLJMHLGFGF68EA,237.2,0.0,25.77,有,
中和區,土地,烘爐地段864-2地號,107.32,都市：其他:保護區,,,1150224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2180200,20315,,0.0,0,地清或未辦繼承標售；,RPPNMLRJMHLGFHF88EA,0.0,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區大智街７１巷７弄１２號四樓,27.0,住,,,1150212,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630821,85.8,4,2,2,有,無,14500000,168998,,0.0,0,頂樓加蓋；,RPUOMLKMLHLGFAF18DA,73.92,0.0,11.88,無,127
板橋區,房地(土地+建物),新北市板橋區僑中二街１１６巷２４號四樓,23.54,住,,,1150207,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.6,3,2,2,有,無,10300000,106625,,0.0,0,二親等買賣姊弟親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPWOMLLJMHLGFAF28DA,86.96,0.0,9.64,無,128
土城區,房地(土地+建物),新北市土城區延和路１０５巷８弄５號二樓,24.29,住,,,1150201,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720914,89.78,3,2,1,有,無,10000000,111383,,0.0,0,,RPRRMLLJMHLGFAF08DA,79.78,0.0,10.0,無,
板橋區,房地(土地+建物),新北市板橋區滿平街１３６巷１弄１２號,128.79,住,,,1150210,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,87.3,5,1,2,有,無,21000000,240550,,0.0,0,頂樓加蓋；其他增建；,RPQOMLMJMHLGFAF77DA,87.3,0.0,0.0,無,
板橋區,土地,幸福段391地號,317.5,都市：其他:道路用地,,,1150212,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,80008720,251996,,0.0,0,包含公共設施保留地用地；,RPPOMLRJMHLGFAF18DA,0.0,0.0,0.0,無,129
板橋區,土地,幸福段391-1地號,41.5,都市：其他:人行步道,,,1150212,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10478800,252501,,0.0,0,包含公共設施保留地用地；,RPROMLRJMHLGFAF38DA,0.0,0.0,0.0,無,129
板橋區,土地,江子翠段溪頭小段118-5地號,40.33,都市：其他:道路用地,,,1150212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12159603,301503,,0.0,0,包含公共設施保留地用地；,RPUOMLRJMHLGFAF68DA,0.0,0.0,0.0,無,131
五股區,房地(土地+建物),新北市五股區成泰路三段５７７巷３７號三樓,12.38,住,,,1150202,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671012,39.02,2,1,1,有,無,5400000,138391,,0.0,0,,RPUOMLLJMHLGFBF18DA,39.02,0.0,0.0,無,
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段１８２號七樓,43.66,住,,,1150202,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961214,165.78,2,2,2,有,有,17500000,105562,坡道平面,31.23,0,,RPWQMLLJMHLGFBF58DA,87.2,3.73,8.86,有,
林口區,房地(土地+建物)+車位,新北市林口區東湖路７６巷１號,112.88,住,,,1150211,土地1建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0960809,240.86,3,3,3,有,有,29000000,120402,坡道平面,29.01,0,陽台增建，陽台加窗、落地窗門其他增建；,RPPPMLMJMHLGFBF87DA,175.67,0.0,11.08,無,
深坑區,房地(土地+建物),新北市深坑區北深路三段１５８巷７號二樓,29.12,都市：其他:道路用地,,,1150201,土地2建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830105,151.01,3,2,2,有,有,13700000,90722,,0.0,0,陽台外推；其他增建；,RPWNMLKLLHLGFCF38DA,98.68,1.25,12.92,有,
新店區,房地(土地+建物),新北市新店區富貴街１４巷６號四樓,29.8,都市：其他:已開發建築密集地區,,,1150212,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711110,94.07,3,2,2,有,有,7680000,81641,,0.0,0,陽台外推；,RPPOMLLMLHLGFCF97DA,82.38,0.0,11.69,無,
汐止區,房地(土地+建物),新北市汐止區建成路５７巷９８號,6.05,商,,,1150212,土地2建物1車位0,一層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0871113,46.58,0,0,0,無,有,11100000,238300,,0.0,0,房地分開計價建物:2291535元土地:8808465元夾層；,RPPNMLMJMHLGFDF87DA,30.16,0.0,6.89,有,
淡水區,房地(土地+建物),新北市淡水區北新路６９巷５８號十九樓,14.12,住,,,1150206,土地1建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840624,100.05000000000001,2,2,1,有,有,6510000,65067,,0.0,0,,RPVNMLNKLHLGFEF68DA,81.52,3.28,7.35,有,132
淡水區,土地,中和段1056地號,3578.41,,特定農業區,農牧用地,1150211,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10820000,3024,,0.0,0,,RPROMLTKLHLGFEF98DA,0.0,0.0,0.0,無,
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２７２之９號十二樓,23.84,住,,,1150206,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,141.59,3,2,2,有,有,14670000,116731,坡道平面,27.91,1400000,預售屋、或土地及建物分件登記案件；,RPTOMLOLLHLGFEF78DA,65.84,3.3,5.89,有,
三重區,房地(土地+建物)+車位,新北市三重區水漾路一段５８號十九樓,16.46,住,,,1150203,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110122,106.05000000000001,2,1,1,有,有,20800000,242680,坡道平面,30.23,2400000,,RPTNMLRLLHLGFGF56DA,45.67,0.0,3.71,有,133
永和區,房地(土地+建物),新北市永和區永和路一段７０號六樓之一,5.83,商,,,1150203,土地2建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830529,72.96,2,2,1,有,有,14350000,196683,,0.0,0,,RPVNMLKKKHLGFHF58DA,59.92,0.0,3.44,有,134
中和區,房地(土地+建物),新北市中和區忠孝街２巷８之１號九樓,13.68,住,,,1150209,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0990713,110.3,2,2,1,有,有,19900000,180417,,0.0,0,陽台外推；其他增建；,RPVNMLTJLHLGFHF86DA,62.65,4.77,9.85,有,
永和區,房地(土地+建物)+車位,新北市永和區民生路４６巷１０號四樓,18.68,住,,,1150201,土地1建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841021,150.84,2,2,2,有,有,24500000,200840,坡道平面,41.3,2500000,分開計價:房屋款2200萬元/車位250萬元,RPOOMLKKLHLGFHF08DA,93.16,0.0,9.64,有,
中和區,房地(土地+建物),新北市中和區錦和路１９６巷７弄４號二樓,26.95,住,,,1150210,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690630,90.78,3,2,1,有,無,13220000,145627,,0.0,0,陽台外推；,RPQNMLMLLHLGFHF48DA,90.78,0.0,0.0,無,
樹林區,房地(土地+建物)+車位,新北市樹林區學成路７６０號十四樓,23.12,住,,,1150211,土地1建物1車位3,十四層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981001,169.61,5,2,4,有,有,20000000,117918,坡道平面,45.3,0,親友、員工、共有人或其他特殊關係間之交易；,RPPSMLOLLHLGFIF56DA,78.59,7.71,3.18,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路３３８號三樓,26.5,住,,,1150224,土地1建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830531,199.29000000000002,4,2,2,有,有,26500000,146978,坡道平面,36.0,2500000,,RPSNMLMJMHLGFAF97EA,113.47,0.92,14.26,有,135
新莊區,房地(土地+建物),新北市新莊區天祥街７２巷１６號五樓,34.11,住,,,1150214,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770708,111.83,3,2,2,有,無,7600000,67960,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPQNMLMJMHLGFBF87EA,100.37,0.0,11.46,無,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路一段９３號二十五樓之１１,24.64,工,,,1150203,土地2建物1車位2,二十五層,三十五層,住宅大樓(11層含以上有電梯),工業用,鋼骨構造,1080123,401.66999999999996,6,1,0,有,有,40000000,99584,坡道平面,74.2,0,,RPSNMLMJMHLGFDF28EA,200.21,0.0,3.14,有,136
汐止區,房地(土地+建物),新北市汐止區新台五路二段３５號,27.87,住,,,1150212,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720125,88.0,0,0,0,無,無,19000000,215909,,0.0,0,其他增建；,RPPNMLRJMHLGFDF48EA,79.85,8.15,0.0,無,
淡水區,房地(土地+建物),新北市淡水區北新路１８２巷６５號五樓,20.22,住,,,1150210,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900118,104.15,3,2,2,有,有,8580000,82381,,0.0,0,,RPOOMLKMLHLGFEF08EA,78.1,0.0,8.91,有,137
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路三段３６巷３８號三樓,23.26,住,,,1150207,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131122,183.61,3,2,2,有,有,18480000,106495,坡道平面,29.8,2100000,預售屋、或土地及建物分件登記案件；,RPPOMLKMLHLGFEF18EA,92.93,0.0,6.39,有,
