鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
仁愛區,租賃房屋,基隆市仁愛區南新街２３２之３號,0.0,,,,1150310,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691015,72.74,3,2,1,有,無,有,10000,137,,0.0,0,,RPWNMLRKLHLGFDC88CC,整棟(戶)出租,無,1150310~1160309,無,熱水器、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區武隆街１０３巷５５弄７號,0.0,,,,1150310,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0830505,104.95,2,1,1,有,有,有,12000,114,,0.0,0,續租案件；,RPVOMLTKLHLGFDC09CC,整棟(戶)出租,無,1150325~1160324,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋,基隆市中正區新豐街１６１巷１４０號２樓,0.0,,,,1150310,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740905,89.76,3,2,1,有,無,有,11000,123,,0.0,0,續租案件；,RPXOMLTKLHLGFDC66CC,整棟(戶)出租,無,1150320~1170319,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,基隆市信義區東信路６３巷１號４樓,0.0,,,,1150305,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650626,49.36,2,1,1,有,無,有,13500,274,,0.0,0,續租案件；,RPOPMLTKLHLGFDC48CC,整棟(戶)出租,無,1150310~1160111,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
七堵區,租賃房屋,基隆市七堵區開元路５２號５樓,0.0,,,,1150310,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770914,125.97,3,2,2,有,無,有,13000,103,,0.0,0,續租案件；,RPPPMLTKLHLGFDC58CC,整棟(戶)出租,無,1150312~1170311,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
暖暖區,租賃房屋,基隆市暖暖區東勢街２６巷７０之１號,0.0,,,,1150305,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710524,95.46000000000001,3,1,2,有,無,有,12000,126,,0.0,0,,RPPNMLNLLHLGFDC87CC,整棟(戶)出租,無,1150307~1160306,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區暖暖街５７０巷８３號３樓,0.0,,,,1150301,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851209,90.62,3,2,2,有,有,有,16000,177,,0.0,0,,RPOOMLNLLHLGFDC87CC,整棟(戶)出租,無,1150301~1160228,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,基隆市信義區東信路５號４樓,0.0,,,,1150309,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860203,99.13,2,1,2,有,無,無,11000,111,,0.0,0,,RPQQMLPLLHLGFDC48CC,整棟(戶)出租,無,1150309~1160308,有,熱水器、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,基隆市中山區復興路２１３號８樓之２,0.0,,,,1150304,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111201,108.34,2,1,1,有,有,有,19800,183,,0.0,0,多人共同承租2；未租賃車位，建物登記含有車位面積；,RPPNMLSLLHLGFDC38CC,整棟(戶)出租,有,1150308~1160307,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
信義區,租賃房屋,基隆市信義區東信路１４９號５樓,0.0,,,,1150309,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730613,74.36,3,1,1,有,無,有,9000,121,,0.0,0,多人共同承租2；,RPQNMLSLLHLGFDC48CC,整棟(戶)出租,無,1150316~1160315,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
仁愛區,租賃房屋,基隆市仁愛區南榮路１５１巷１０４號２樓,0.0,,,,1150308,土地0建物1車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0771224,83.81,3,1,1,有,無,無,10000,119,,0.0,0,,RPROMLKMLHLGFDC97CC,分層出租,無,1150314~1160313,無,熱水器,
