編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLLKLHLGFDC77CC,27,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLMKLHLGFDC77CC,47,46.75,住家用,鋼筋混凝土造,68年3月1日,四層,,
RPUNMLMKLHLGFDC18CC,31,12.73,共用部份,鋼筋混凝土造,84年5月17日,六層,,
RPVNMLLKLHLGFDC18CC,36,91.04,住家用,鋼筋混凝土造,79年4月21日,五層,,
RPVNMLLKLHLGFDC18CC,36,6.22,共用部份,鋼筋混凝土造,79年4月21日,五層,,
RPRNMLMKLHLGFDC87CC,47,70.71,住家用,鋼筋混凝土造,68年3月14日,四層,,
RPTNMLLKLHLGFDC97CC,31,59.59,住宅（夾層）儲藏室,鋼筋混凝土造,84年6月10日,四層,,
RPTNMLLKLHLGFDC97CC,31,4.84,共用部份,鋼筋混凝土造,84年6月10日,四層,,
RPTNMLLKLHLGFDC97CC,31,.88,共用部份,鋼筋混凝土造,84年6月10日,五層,,
RPTNMLMKLHLGFDC08CC,31,74.92,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPTNMLMKLHLGFDC08CC,31,12.42,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPTNMLMKLHLGFDC08CC,31,10.61,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPPNMLLKLHLGFDC57CC,3,53.46,集合住宅,鋼筋混凝土造,111年12月1日,十五層,,
RPPNMLLKLHLGFDC57CC,3,28.65,本建物共有部分之項目有停車空間．機電設備空間．無障礙電梯．排煙室．自來水池．防空避難室兼停車空間．台電配電場所．垃圾儲藏室．梯廳．外廊．門廊．陽台．管委會管理空間．游泳池．安全梯．管道間．消防水箱．自來水箱．樓梯間等共１９項。,鋼筋混凝土造,111年12月1日,十五層,,
RPXNMLTJLHLGFDC09CC,27,57.92,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLTJLHLGFDC09CC,27,8.42,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLTJLHLGFDC09CC,27,2.33,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLTJLHLGFDC09CC,27,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLTJLHLGFDC09CC,27,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWNMLMKLHLGFDC38CC,27,57.41,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPWNMLMKLHLGFDC38CC,27,9.40,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWNMLMKLHLGFDC38CC,27,3.39,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWNMLMKLHLGFDC38CC,27,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWNMLMKLHLGFDC38CC,27,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPOMLMKLHLGFDC77CC,34,65.62,住家用,鋼筋混凝土造,81年1月24日,五層,,
RPQOMLMKLHLGFDC87CC,44,98.36,住家用,鋼筋混凝土造,71年6月24日,五層,,
RPOOMLMKLHLGFDC67CC,2,53.54,集合住宅,鋼筋混凝土造,113年1月16日,十三層,,
RPOOMLMKLHLGFDC67CC,2,28.62,本建物共有部分之項目有防災中心．安全梯．緊急升降機．梯廳．排風管道．門廊．排煙室．儲藏室．管委會管理空間．機電設備空間．無障礙樓梯．管道間．樓梯間．電梯間．消防水箱．自來水箱．台電配電場所．停車空間．防空避難室兼停車空間．垃圾儲藏室．門廳．台電管道間．自來水池．陽台．雨遮．中繼消防水箱等共２６項。,鋼筋混凝土造,113年1月16日,二十二層,,
RPTNMLNKLHLGFDC18CC,31,59.00,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPTNMLNKLHLGFDC18CC,31,9.88,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPTNMLNKLHLGFDC18CC,31,9.64,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPSNMLNKLHLGFDC08CC,44,88.60,住家用,鋼筋混凝土造,71年5月24日,四層,,
RPPNMLNKLHLGFDC77CC,31,71.72,商業用,鋼筋混凝土造,83年11月18日,九層,,
RPPNMLNKLHLGFDC77CC,31,10.19,共用部份,鋼筋混凝土造,83年11月18日,九層,,
RPXNMLMKLHLGFDC48CC,27,50.49,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLMKLHLGFDC48CC,27,9.31,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLMKLHLGFDC48CC,27,.64,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLMKLHLGFDC48CC,27,2.96,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLMKLHLGFDC48CC,27,1.25,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLMKLHLGFDC48CC,27,.61,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLNKLHLGFDC58CC,27,102.00,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLNKLHLGFDC58CC,27,19.49,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLNKLHLGFDC58CC,27,4.31,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLNKLHLGFDC58CC,27,69.98,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLNKLHLGFDC87CC,27,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,,
RPQNMLNKLHLGFDC87CC,27,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,,
RPQNMLNKLHLGFDC87CC,27,4.93,共用部份,鋼筋混凝土造,88年1月14日,十五層,,
RPXNMLNKLHLGFDC58CC,27,2.45,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLNKLHLGFDC87CC,27,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLNKLHLGFDC58CC,27,1.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLNKLHLGFDC87CC,27,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLNKLHLGFDC97CC,33,106.25,住家用,鋼筋混凝土造,82年9月2日,七層,,
RPRNMLNKLHLGFDC97CC,33,4.55,共用部份,鋼筋混凝土造,82年9月2日,七層,,
RPRNMLNKLHLGFDC97CC,33,1.27,共用部份,鋼筋混凝土造,82年9月2日,七層,,
RPRNMLNKLHLGFDC97CC,33,8.31,共用部份,鋼筋混凝土造,82年9月2日,七層,,
RPUOMLMKLHLGFDC28CC,31,66.41,住家用,鋼筋混凝土造,84年6月22日,五層,,
RPUOMLMKLHLGFDC28CC,31,12.22,共用部份,鋼筋混凝土造,84年6月22日,五層,,
RPROMLMKLHLGFDC97CC,29,85.95,住家用,鋼筋混凝土造,86年7月18日,十二層,,
RPROMLMKLHLGFDC97CC,29,2.30,共用部份,鋼筋混凝土造,86年7月18日,四層,,
RPROMLMKLHLGFDC97CC,29,10.73,共用部份,鋼筋混凝土造,86年7月18日,十二層,,
RPROMLMKLHLGFDC97CC,29,13.44,共用部份,鋼筋混凝土造,86年7月18日,十二層,,
