編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLNLLHLGFAH28DA,,54.85,店舖、店舖（附屬儲藏室）,鋼筋混凝土造,114年10月16日,十五層,一層 陽台 見其他登記事項,全筆移轉
RPSNMLNLLHLGFAH28DA,,60.29,本建物共有部分之項目有：防空避難室兼停車空間、消防泵浦室、污雨水機房、水箱、梯間、停車空間、電信室、台電配電場所、水循環設備機房、發電機室、垃圾儲藏空間、集合住宅（附屬管委會使用空間、梯間）機械室等十四項。,鋼筋混凝土造,114年10月16日,十五層,,持分移轉
RPVUMLQJJHLGFEH96DA,,57.38,集合住宅,鋼筋混凝土造,114年12月23日,十八層,十三層 陽台,全筆移轉
RPVUMLQJJHLGFEH96DA,,51.29,共有部份,鋼筋混凝土造,114年12月23日,十八層,,持分移轉
RPSPMLQLLHLGFBH88DA,,68.87,集合住宅,鋼筋混凝土造,115年2月4日,十四層,九層 陽台,全筆移轉
RPSPMLQLLHLGFBH88DA,,15.13,本共有部分之項目有：集合住宅（附屬梯間）、機房、梯間、水箱等四項。,鋼筋混凝土造,115年2月4日,十四層,,持分移轉
RPSPMLQLLHLGFBH88DA,,46.11,本共有部分之項目有：防空避難室兼停車空間、消防泵浦室、汙、雨水回收機房、蓄水池、停車空間、台電配電室、發電機室、電信室、垃圾處理室、梯間、集合住宅（附屬管委會使用空間．梯間）等十一項。,鋼筋混凝土造,115年2月4日,十四層,,持分移轉
RPOPMLSLLHLGFAH58DA,,87.99,集合住宅,鋼筋混凝土造,114年11月17日,十五層,七層 陽台,全筆移轉
RPWWMLQJJHLGFEH27DA,,57.60,集合住宅,鋼筋混凝土造,114年12月23日,十八層,十五層 陽台,全筆移轉
RPOPMLSLLHLGFAH58DA,,76.85,本共有部分之項目有：停車空間、消防泵浦室、污水機房、雨水回收機房、蓄水池、梯間、電信室、發電機室、機房、防空避難室兼停車空間、垃圾處理室、台電配電場所、集合住宅（附屬車道、管委會使用空間、梯間）、集合住宅（附屬梯間）、機械室、水箱等１６項。,鋼筋混凝土造,114年11月17日,十五層,,持分移轉
RPWWMLQJJHLGFEH27DA,,51.29,共有部份,鋼筋混凝土造,114年12月23日,十八層,,持分移轉
